SZU,Charge_Point,Charge_Point_2
Baw Baw,"37° 52'0""S","146° 23'15""E"
Bawley Point,"35° 26'30""S","150° 18'0""E"
Bayley Plains,"33° 35'0""S","135° 58'0""E"
Beacon,"30° 32'0""S","117° 53'10""E"
Beacon North,"30° 16'30""S","117° 53'30""E"
Beaconsfield,"41° 10'30""S","146° 48'0""E"
Bealiba,"36° 48'0""S","143° 37'0""E"
Beaudesert,"27° 58'30""S","152° 58'30""E"
Beaufort,"37° 24'45""S","143° 25'20""E"
Beaufort River,"33° 33'0""S","117° 10'0""E"
Beazleys Bridge,"36° 49'0""S","143° 14'0""E"
Bedford Harbour,"33° 39'30""S","120° 33'30""E"
Bedgerebong,"33° 17'30""S","147° 42'30""E"
Beeac,"38° 12'0""S","143° 37'25""E"
Beebo,"28° 42'30""S","151° 0'0""E"
Beech Forest,"38° 32'0""S","143° 29'15""E"
Beechmont,"28° 9'0""S","153° 14'30""E"
Beechworth,"36° 21'0""S","146° 43'0""E"
Beedelup,"34° 21'0""S","115° 56'30""E"
Beenleigh,"27° 40'0""S","153° 5'30""E"
Bega,"36° 37'0""S","149° 46'0""E"
Belka East,"31° 46'0""S","118° 27'0""E"
Bell,"27° 2'0""S","151° 31'0""E"
Bellata,"29° 56'0""S","149° 51'30""E"
Bellingen,"30° 26'30""S","152° 55'30""E"
Belyando (Ext),"23° 19'0""S","147° 20'30""E"
Bemboka,"36° 34'0""S","149° 34'0""E"
Ben Lomond,"29° 58'25""S","151° 37'30""E"
Benalla,"36° 34'0""S","145° 54'30""E"
Benaraby,"24° 1'30""S","151° 25'30""E"
Benayeo,"36° 53'0""S","141° 4'30""E"
Bencubbin,"30° 44'0""S","117° 53'0""E"
Bendemeer,"30° 50'0""S","151° 6'0""E"
Bendigo,"36° 47'0""S","144° 16'30""E"
Bendoc,"37° 11'30""S","149° 2'45""E"
Berkley Downs,"30° 12'30""S","148° 30'0""E"
Berri,"34° 16'30""S","140° 35'0""E"
Berridale,"36° 18'30""S","148° 46'0""E"
Berrigan,"35° 40'30""S","145° 48'0""E"
Berriwillock,"35° 38'0""S","143° 2'0""E"
Berry,"34° 44'30""S","150° 36'0""E"
Bessiebelle,"38° 8'0""S","141° 58'0""E"
Bethungra,"34° 43'30""S","147° 51'0""E"
Beulah,"36° 1'0""S","142° 21'30""E"
Bevendale,"34° 37'0""S","149° 6'30""E"
Beverley,"32° 7'30""S","117° 0'30""E"
Beverley West,"32° 10'0""S","116° 43'0""E"
Bibby Springs,"30° 31'30""S","115° 17'0""E"
Bicheno,"41° 52'30""S","148° 12'30""E"
Bidaminna,"31° 9'4""S","115° 34'3""E"
Bidgeemia,"35° 25'30""S","146° 37'30""E"
Biggenden,"25° 29'30""S","152° 3'0""E"
Billa Billa,"28° 10'0""S","150° 18'0""E"
Biloela,"24° 25'0""S","150° 35'0""E"
Bimbadeen,"26° 2'0""S","149° 37'20""E"
Binalong,"34° 44'30""S","148° 38'0""E"
Binda,"34° 15'0""S","149° 13'30""E"
Bindogundra,"33° 6'30""S","148° 26'0""E"
Bindoon,"31° 18'20""S","116° 5'0""E"
Bingara,"29° 58'30""S","150° 39'30""E"
